cocktail,name,glass,spirit
https://nathantrance.github.io/SemanticWeb/id/cocktail/110-in-the-shade,110 in the shade,Beer Glass,Tequila
https://nathantrance.github.io/SemanticWeb/id/cocktail/151-florida-bushwacker,151 Florida Bushwacker,Beer mug,Rum
https://nathantrance.github.io/SemanticWeb/id/cocktail/155-belmont,155 Belmont,White wine glass,Rum
https://nathantrance.github.io/SemanticWeb/id/cocktail/24k-nightmare,24k nightmare,Shot Glass,Rum
https://nathantrance.github.io/SemanticWeb/id/cocktail/24k-nightmare,24k nightmare,Shot glass,Rum
https://nathantrance.github.io/SemanticWeb/id/cocktail/252,252,Shot Glass,Rum
https://nathantrance.github.io/SemanticWeb/id/cocktail/252,252,Shot glass,Rum
https://nathantrance.github.io/SemanticWeb/id/cocktail/3-wise-men,3 Wise Men,Collins Glass,
https://nathantrance.github.io/SemanticWeb/id/cocktail/3-wise-men,3 Wise Men,Collins glass,
https://nathantrance.github.io/SemanticWeb/id/cocktail/3-mile-long-island-iced-tea,3-Mile Long Island Iced Tea,Collins Glass,Gin
https://nathantrance.github.io/SemanticWeb/id/cocktail/3-mile-long-island-iced-tea,3-Mile Long Island Iced Tea,Collins glass,Gin
https://nathantrance.github.io/SemanticWeb/id/cocktail/410-gone,410 Gone,Collins Glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/410-gone,410 Gone,Collins glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/50-50,50/50,Collins Glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/50-50,50/50,Collins glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/501-blue,501 Blue,Collins Glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/501-blue,501 Blue,Collins glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/57-chevy-with-a-white-license-plate,57 Chevy with a White License Plate,Highball Glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/57-chevy-with-a-white-license-plate,57 Chevy with a White License Plate,Highball glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/69-special,69 Special,Collins Glass,Gin
https://nathantrance.github.io/SemanticWeb/id/cocktail/69-special,69 Special,Collins glass,Gin
https://nathantrance.github.io/SemanticWeb/id/cocktail/747,747,Shot Glass,Liqueur
https://nathantrance.github.io/SemanticWeb/id/cocktail/747,747,Shot glass,Liqueur
https://nathantrance.github.io/SemanticWeb/id/cocktail/747-drink,747 Drink,Highball Glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/747-drink,747 Drink,Highball glass,Vodka
https://nathantrance.github.io/SemanticWeb/id/cocktail/9-1-2-weeks,9 1/2 Weeks,Cocktail Glass,
https://nathantrance.github.io/SemanticWeb/id/cocktail/9-1-2-weeks,9 1/2 Weeks,Cocktail glass,
https://nathantrance.github.io/SemanticWeb/id/cocktail/a-j,A. J.,Cocktail Glass,
https://nathantrance.github.io/SemanticWeb/id/cocktail/a-j,A. J.,Cocktail glass,
https://nathantrance.github.io/SemanticWeb/id/cocktail/a1,A1,Cocktail Glass,Gin
