distillery,label,squared_degrees
https://nathantrance.github.io/SemanticWeb/id/distillery/power-house-caledonian-distillery-dalry-road-edinburgh,"Power House, Caledonian Distillery, Dalry Road, Edinburgh",0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/lind-lime-gin-distillery,Lind & Lime gin distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/port-of-leith-distillery,Port of Leith distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/secret-garden-distillery,Secret Garden distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/auchtertool-distillery,Auchtertool Distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/starlaw-distillery,Starlaw distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/inchdairnie-distillery,Inchdairnie distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/workshop-and-general-store-cameron-bridge-distillery-windygates,"Workshop and General Store, Cameron Bridge Distillery, Windygates",0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/haig-s-distillery-markinch,"Haig's Distillery, Markinch",0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/diageo-global-supply-centre,Diageo Global Supply Centre,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/rosebank-distillery-camelon-road-falkirk,"Rosebank Distillery, Camelon Road, Falkirk",0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/eden-mill-st-andrews,Eden Mill St Andrews,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/stirling-distillery,Stirling distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/borders-distillery,Borders Distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/finnieston-distillery,Finnieston distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/moffat-distillery,Moffat distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/glasgow-distillery,Glasgow distillery,0.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/ad-gefrin-distillery,Ad Gefrin Distillery,1.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/isle-of-cumbrae-distillery,Isle of Cumbrae distillery,1.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/office-range-and-proof-house-royal-lochnagar-distillery,"Office Range and Proof House, Royal Lochnagar Distillery",1.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/dalwhinnie-distillery,Dalwhinnie Distillery,1.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/ladyburn-distillery,Ladyburn distillery,1.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/the-lakes-distillery,The Lakes Distillery,2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/bladnoch-distillery,Bladnoch distillery,2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/oban-distillery,Oban Distillery,2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/kiln-and-office-glenlochy-distillery-fort-william,"Kiln and Office, Glenlochy Distillery, Fort William",2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/glenlivet-distillery,Glenlivet Distillery,2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/glenrinnes-distillery,Glenrinnes distillery,2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/duty-free-wharehouse-number-1-and-2-tormore-distillery,"Duty Free Wharehouse Number 1 and 2, Tormore Distillery",2.0e0
https://nathantrance.github.io/SemanticWeb/id/distillery/office-former-benmore-distillery-saddell-street-campbeltown,"Office, Former Benmore Distillery, Saddell Street, Campbeltown",2.0e0
