cocktail,name,wikidata,dbpedia
https://nathantrance.github.io/SemanticWeb/id/cocktail/americano,Americano,http://www.wikidata.org/entity/Q467441,http://dbpedia.org/resource/Americano_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/b-52,B-52,http://www.wikidata.org/entity/Q594392,http://dbpedia.org/resource/B-52_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/caipirinha,Caipirinha,http://www.wikidata.org/entity/Q625152,http://dbpedia.org/resource/Caipirinha
https://nathantrance.github.io/SemanticWeb/id/cocktail/chocolate-milk,Chocolate Milk,http://www.wikidata.org/entity/Q13253,http://dbpedia.org/resource/Chocolate_milk
https://nathantrance.github.io/SemanticWeb/id/cocktail/corpse-reviver,Corpse Reviver,http://www.wikidata.org/entity/Q5172602,http://dbpedia.org/resource/Corpse_reviver
https://nathantrance.github.io/SemanticWeb/id/cocktail/cosmopolitan,Cosmopolitan,http://www.wikidata.org/entity/Q268057,http://dbpedia.org/resource/Cosmopolitan_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/cream-soda,Cream Soda,http://www.wikidata.org/entity/Q2304229,http://dbpedia.org/resource/Cream_soda
https://nathantrance.github.io/SemanticWeb/id/cocktail/cuba-libre,Cuba Libre,http://www.wikidata.org/entity/Q471753,http://dbpedia.org/resource/Rum_and_Coke
https://nathantrance.github.io/SemanticWeb/id/cocktail/daiquiri,Daiquiri,http://www.wikidata.org/entity/Q917361,http://dbpedia.org/resource/Daiquiri
https://nathantrance.github.io/SemanticWeb/id/cocktail/death-in-the-afternoon,Death in the Afternoon,http://www.wikidata.org/entity/Q5247370,http://dbpedia.org/resource/Death_in_the_Afternoon_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/egg-cream,Egg Cream,http://www.wikidata.org/entity/Q1297383,http://dbpedia.org/resource/Egg_cream
https://nathantrance.github.io/SemanticWeb/id/cocktail/espresso-martini,Espresso Martini,http://www.wikidata.org/entity/Q19904106,http://dbpedia.org/resource/Espresso_martini
https://nathantrance.github.io/SemanticWeb/id/cocktail/french-75,French 75,http://www.wikidata.org/entity/Q3753012,http://dbpedia.org/resource/French_75_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/french-martini,French Martini,http://www.wikidata.org/entity/Q20686986,http://dbpedia.org/resource/French_martini
https://nathantrance.github.io/SemanticWeb/id/cocktail/frose,Frosé,http://www.wikidata.org/entity/Q104879171,http://dbpedia.org/resource/Fros%C3%A9_%28drink%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/gimlet,Gimlet,http://www.wikidata.org/entity/Q1524752,http://dbpedia.org/resource/Gimlet_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/harvey-wallbanger,Harvey Wallbanger,http://www.wikidata.org/entity/Q1587980,http://dbpedia.org/resource/Harvey_Wallbanger
https://nathantrance.github.io/SemanticWeb/id/cocktail/hemingway-special,Hemingway Special,http://www.wikidata.org/entity/Q26879521,http://dbpedia.org/resource/Hemingway_special
https://nathantrance.github.io/SemanticWeb/id/cocktail/horse-s-neck,Horse's Neck,http://www.wikidata.org/entity/Q3786818,http://dbpedia.org/resource/Horse%27s_neck
https://nathantrance.github.io/SemanticWeb/id/cocktail/hot-toddy,Hot Toddy,http://www.wikidata.org/entity/Q1418227,http://dbpedia.org/resource/Hot_toddy
https://nathantrance.github.io/SemanticWeb/id/cocktail/iced-coffee,Iced Coffee,http://www.wikidata.org/entity/Q968554,http://dbpedia.org/resource/Iced_coffee
https://nathantrance.github.io/SemanticWeb/id/cocktail/irish-coffee,Irish Coffee,http://www.wikidata.org/entity/Q622954,http://dbpedia.org/resource/Irish_coffee
https://nathantrance.github.io/SemanticWeb/id/cocktail/karsk,Karsk,http://www.wikidata.org/entity/Q70428,http://dbpedia.org/resource/Karsk
https://nathantrance.github.io/SemanticWeb/id/cocktail/lemon-drop,Lemon Drop,http://www.wikidata.org/entity/Q22084462,http://dbpedia.org/resource/Lemon_drop_%28cocktail%29
https://nathantrance.github.io/SemanticWeb/id/cocktail/limeade,Limeade,http://www.wikidata.org/entity/Q488482,http://dbpedia.org/resource/Limeade
