name,spirit,spiritClass
110 in the shade,https://nathantrance.github.io/SemanticWeb/id/spirit/tequila,https://nathantrance.github.io/SemanticWeb/onto#Tequila
151 Florida Bushwacker,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
155 Belmont,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
24k nightmare,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
252,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
3-Mile Long Island Iced Tea,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
410 Gone,https://nathantrance.github.io/SemanticWeb/id/spirit/vodka,https://nathantrance.github.io/SemanticWeb/onto#Vodka
50/50,https://nathantrance.github.io/SemanticWeb/id/spirit/vodka,https://nathantrance.github.io/SemanticWeb/onto#Vodka
501 Blue,https://nathantrance.github.io/SemanticWeb/id/spirit/vodka,https://nathantrance.github.io/SemanticWeb/onto#Vodka
57 Chevy with a White License Plate,https://nathantrance.github.io/SemanticWeb/id/spirit/vodka,https://nathantrance.github.io/SemanticWeb/onto#Vodka
69 Special,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
747,https://nathantrance.github.io/SemanticWeb/id/spirit/liqueur,https://nathantrance.github.io/SemanticWeb/onto#Liqueur
747 Drink,https://nathantrance.github.io/SemanticWeb/id/spirit/vodka,https://nathantrance.github.io/SemanticWeb/onto#Vodka
A1,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
ABC,https://nathantrance.github.io/SemanticWeb/id/spirit/liqueur,https://nathantrance.github.io/SemanticWeb/onto#Liqueur
ACID,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
AT&T,https://nathantrance.github.io/SemanticWeb/id/spirit/vodka,https://nathantrance.github.io/SemanticWeb/onto#Vodka
Abilene,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
Acapulco,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
Ace,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
Adam,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
Addison,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
Affinity,https://nathantrance.github.io/SemanticWeb/id/spirit/whisky,https://nathantrance.github.io/SemanticWeb/onto#Whisky
Alexander,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
Algonquin,https://nathantrance.github.io/SemanticWeb/id/spirit/whisky,https://nathantrance.github.io/SemanticWeb/onto#Whisky
Allegheny,https://nathantrance.github.io/SemanticWeb/id/spirit/whisky,https://nathantrance.github.io/SemanticWeb/onto#Whisky
Almeria,https://nathantrance.github.io/SemanticWeb/id/spirit/rum,https://nathantrance.github.io/SemanticWeb/onto#Rum
Americano,https://nathantrance.github.io/SemanticWeb/id/spirit/liqueur,https://nathantrance.github.io/SemanticWeb/onto#Liqueur
Applecar,https://nathantrance.github.io/SemanticWeb/id/spirit/liqueur,https://nathantrance.github.io/SemanticWeb/onto#Liqueur
Artillery,https://nathantrance.github.io/SemanticWeb/id/spirit/gin,https://nathantrance.github.io/SemanticWeb/onto#Gin
